s,F1, F2, F3, T1, T2, T3, T4, T_D40, T5, T6, TOELE, T_T_1, T_T_2, f, s_k, s_k2, k, s_V, s_V_K, r_tilde, T_BP1, T_BP2, T_WT1, T_WT2, T_V, T_V2, m, r, T_V_tilde, reglerguete_Misch , reglerguete_K, reglerguete_stellgroesse, reihenfolge
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.98, 26.94, 77.90, 77.90, 80.00, 80.03, 78.00, 78.02, -2.00, 78.00, -0.01, -0.10, 77.90, 0.00, 0.19, 90.00, 90.00, 26.13, 26.09, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3961.10
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.98, 26.94, 77.90, 77.90, 80.00, 80.03, 78.00, 78.02, -2.00, 78.00, -0.00, -0.10, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.09, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3962.20
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.98, 26.95, 77.90, 77.90, 80.00, 80.03, 78.00, 78.02, -2.00, 78.00, -0.00, -0.10, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.09, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3963.30
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.95, 77.90, 77.90, 80.00, 80.02, 78.00, 78.02, -2.00, 78.00, -0.00, -0.10, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.10, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3964.40
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.95, 77.90, 77.90, 80.00, 80.02, 78.00, 78.02, -2.00, 78.00, -0.00, -0.10, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.10, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3965.50
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.95, 77.90, 77.90, 80.00, 80.02, 78.00, 78.02, -2.00, 78.00, -0.00, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.10, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3966.60
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.95, 77.90, 77.90, 80.00, 80.02, 77.99, 78.02, -2.00, 78.00, 0.00, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.10, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3967.70
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.95, 77.90, 77.90, 79.99, 80.02, 77.99, 78.01, -2.00, 78.00, 0.00, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.10, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3968.80
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.96, 77.90, 77.90, 79.99, 80.02, 77.99, 78.01, -2.00, 78.00, 0.00, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.10, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3969.90
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.96, 77.90, 77.90, 79.99, 80.02, 77.99, 78.01, -2.00, 78.00, 0.00, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.14, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3971.00
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 26.99, 26.96, 77.90, 77.90, 79.99, 80.02, 77.99, 78.01, -2.00, 78.00, 0.00, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.15, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3972.10
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.96, 77.90, 77.90, 79.99, 80.01, 77.99, 78.01, -2.00, 78.00, 0.01, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.15, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3973.20
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.96, 77.90, 77.90, 79.99, 80.01, 77.99, 78.01, -2.00, 78.00, 0.01, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.15, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3974.30
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.96, 77.90, 77.90, 79.99, 80.01, 77.99, 78.01, -2.00, 78.00, 0.01, -0.09, 77.90, 0.00, 0.19, 90.00, 90.00, 26.15, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3975.40
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.96, 77.90, 77.90, 79.99, 80.01, 77.99, 78.01, -2.00, 78.00, 0.01, -0.09, 77.91, 0.00, 0.19, 90.00, 90.00, 26.15, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.90, 0.13, 0.57, 0.00,     3976.50
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.97, 77.90, 77.90, 79.99, 80.01, 77.99, 78.00, -2.00, 78.00, 0.01, -0.09, 77.91, 0.00, 0.19, 90.00, 90.00, 26.15, 26.11, 77.90, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3977.60
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.97, 77.90, 77.90, 79.99, 80.01, 77.99, 78.00, -2.00, 78.00, 0.01, -0.09, 77.91, 0.00, 0.19, 90.00, 90.00, 26.15, 26.12, 77.90, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3978.70
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.97, 77.90, 77.90, 79.99, 80.01, 77.99, 78.00, -2.00, 78.00, 0.01, -0.09, 77.91, 0.00, 0.19, 90.00, 90.00, 26.15, 26.12, 77.90, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3979.80
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.97, 77.91, 77.90, 79.98, 80.01, 77.98, 78.00, -2.00, 78.00, 0.01, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.15, 26.12, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3980.90
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.97, 77.91, 77.90, 79.98, 80.00, 77.98, 78.00, -2.00, 78.00, 0.01, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.16, 26.12, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3982.00
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.00, 26.97, 77.91, 77.90, 79.98, 80.00, 77.98, 78.00, -2.00, 78.00, 0.01, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.16, 26.12, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3983.10
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.90, 79.98, 80.00, 77.98, 78.00, -2.00, 78.00, 0.01, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.16, 26.12, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3984.20
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 80.00, 77.98, 78.00, -2.00, 78.00, 0.01, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3985.30
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 80.00, 77.98, 78.00, -2.00, 78.00, 0.02, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3986.40
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 80.00, 77.98, 78.00, -2.00, 78.00, 0.02, -0.08, 77.91, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3987.50
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 80.00, 77.98, 77.99, -2.00, 78.00, 0.02, -0.08, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.91, 0.13, 0.57, 0.00,     3988.60
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 80.00, 77.98, 77.99, -2.00, 78.00, 0.02, -0.08, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.92, 0.13, 0.57, 0.00,     3989.70
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 80.00, 77.98, 77.99, -2.00, 78.00, 0.02, -0.08, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.92, 0.13, 0.57, 0.00,     3990.80
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.98, 77.91, 77.91, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.91, -0.00, 0.0184, 0.21, 77.92, 0.13, 0.57, 0.00,     3991.90
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.99, 77.92, 77.91, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.13, 77.92, -0.00, 0.0184, 0.21, 77.92, 0.13, 0.57, 0.00,     3993.00
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.99, 77.92, 77.91, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.92, 0.13, 0.57, 0.00,     3994.10
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.99, 77.92, 77.91, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.92, 0.00, 0.19, 90.00, 90.00, 26.16, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.92, 0.13, 0.57, 0.00,     3995.20
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.99, 77.92, 77.92, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.92, 0.00, 0.19, 90.00, 90.00, 26.17, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.92, 0.14, 0.57, 0.00,     3996.30
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.99, 77.92, 77.92, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.92, 0.00, 0.19, 90.00, 90.00, 26.17, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.92, 0.14, 0.57, 0.00,     3997.40
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.01, 26.99, 77.92, 77.92, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.92, 0.14, 0.57, 0.00,     3998.50
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.02, 26.99, 77.92, 77.92, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.93, 0.14, 0.57, 0.00,     3999.60
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.02, 26.99, 77.92, 77.92, 79.98, 79.99, 77.98, 77.99, -2.00, 78.00, 0.02, -0.07, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.93, 0.14, 0.57, 0.00,     4000.70
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.02, 27.00, 77.92, 77.92, 79.97, 79.99, 77.97, 77.98, -2.00, 78.00, 0.02, -0.06, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.14, 77.92, -0.00, 0.0184, 0.21, 77.93, 0.14, 0.57, 0.00,     4001.80
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.02, 27.00, 77.93, 77.92, 79.97, 79.99, 77.97, 77.98, -2.00, 78.00, 0.02, -0.06, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.15, 77.93, -0.00, 0.0184, 0.21, 77.93, 0.14, 0.57, 0.00,     4002.90
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.02, 27.00, 77.93, 77.92, 79.97, 79.99, 77.97, 77.98, -2.00, 78.00, 0.02, -0.06, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.15, 77.93, -0.00, 0.0184, 0.21, 77.93, 0.14, 0.57, 0.00,     4004.00
80.00,0.00, 0.00, 0.00, 90.00, 90.00, 27.02, 27.00, 77.93, 77.92, 79.97, 79.98, 77.97, 77.98, -2.00, 78.00, 0.02, -0.06, 77.93, 0.00, 0.19, 90.00, 90.00, 26.17, 26.15, 77.93, -0.00, 0.0184, 0.21, 77.93, 0.14, 0.57, 0.00,     4005.10
